#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN5994  SNIa  2005ht  20:50:24.61  -0:10:4.4  0.1910  53662.2  16  YES 
SN6057  SNIa  2005if  3:30:12.86  -0:58:28.5  0.0670  53662.0  17  YES 
SN6108  SNIa  2005ih  0:7:13.58  +0:20:56.3  0.2600  53673.0  11  YES 
SN6275  SNIa?(LC)  ---  2:18:21.55  +0:1:48.0  0.2730  53659.7  8  YES 
SN6127  SNIa  2005iw  22:29:17.76  -0:5:32.5  0.2740  53664.5  9  YES 
SN6137  SNIa  2005iv  20:31:44.67  +0:14:41.1  0.3000  53665.2  7  YES 
SN6192  SNIa  2005jy  23:13:51.60  +1:15:25.2  0.2700  53669.5  8  YES 
SN6196  SNIa  2005ig  22:30:31.48  -0:30:9.6  0.2810  53664.3  8  YES 
SN6249  SNIa  2005ii  0:13:3.73  -0:37:12.4  0.2950  53670.7  10  YES 
SN6295  SNIa  2005js  1:34:41.51  -0:36:19.4  0.0800  53664.7  10  YES 
SN6304  SNIa  2005jk  1:45:59.43  +1:11:45.4  0.1580  53671.7  16  YES 
SN6315  SNIa  2005ix  20:41:55.88  +1:5:31.2  0.2550  53674.2  10  YES 
SN6326  SNIa?(LC)  ---  20:48:3.43  -0:48:34.7  0.2229  53664.9  6  YES 
SN6406  SNIa  2005ij  3:4:21.27  -1:3:46.7  0.1250  53672.8  17  YES 
SN6422  SNIa  2005id  23:16:33.31  -0:39:47.6  0.1900  53665.4  12  YES 
SN6471  SNII  ---  20:37:32.67  +0:29:41.8  0.2000  53664.6  9  YES 
SN6479  SNIa?(LC)  ---  21:21:37.76  +0:35:0.9  0.2340  53660.1  8  YES 
SN10805  SNIa  2005ku  22:59:42.61  -0:0:49.4  0.0450  53698.0  10  YES 
SN6491  SNIa?(LC)  ---  1:6:35.75  +0:32:33.3  0.1104  53669.0  6  NO 
SN6520  SNIa?(LC)  ---  22:59:48.60  +0:11:8.5  0.1100  53683.0  22  YES 
SN6535  SNIa?(LC)  ---  21:40:59.78  +0:3:11.7  0.3066  53671.9  10  YES 
SN6558  ---  2005hj  1:26:48.40  -1:14:17.3  0.0580  53671.9  12  YES 
SN6614  SNIa?(LC)  ---  1:46:35.28  +0:52:0.3  0.1694  53655.5  5  YES 
SN6649  SNIa  2005jd  2:17:6.21  +0:32:5.4  0.3200  53673.9  7  YES 
SN6687  SNIa?(LC)  ---  21:53:19.37  +0:28:37.2  0.3960  53658.1  2  YES 
SN6696  SNIa?(SP)  ---  22:36:19.04  +0:28:45.3  0.2380  53668.5  7  YES 
SN6699  SNIa  2005ik  21:31:15.59  -1:3:25.1  0.2960  53671.6  5  YES 
SN6714  SNIa?(LC)  ---  23:49:26.40  +0:37:54.7  0.4150  53671.6  11  YES 
SN6773  SNIa  2005iu  20:20:15.60  +0:13:2.4  0.0900  53679.0  17  YES 
SN6777  SNIa  2005iy  21:24:51.95  +0:23:8.2  0.3900  53657.1  3  YES 
SN6780  SNIa  2005iz  21:52:16.47  +0:16:1.4  0.2010  53662.8  8  YES 
SN6807  SNIa?(LC)  ---  22:32:16.58  -1:8:44.0  0.2961  53674.1  5  YES 
SN6813  SNIa?(LC)  ---  1:49:4.87  +0:3:25.5  0.2860  53643.1  3  YES 
SN6851  SNIa?(LC)  ---  3:28:25.09  -0:2:54.7  0.3050  53665.0  9  NO 
SN6852  SNIa?(SP)  2005jf  3:33:40.76  -0:6:43.6  0.3010  53671.0  16  YES 
SN6861  SNIa?(LC)  ---  23:17:43.74  -1:6:48.5  0.1900  53669.7  7  YES 
SN6895  SNIa?(LC)  ---  22:0:46.30  +0:55:41.7  0.2150  53676.8  9  YES 
SN6903  SNIa?(LC)  ---  22:21:46.45  +0:58:18.3  0.2541  53679.0  7  YES 
SN6924  SNIa  2005ja  23:55:52.64  +0:52:37.1  0.3220  53667.4  10  YES 
SN6933  SNIa  2005jc  0:45:24.41  +1:4:32.1  0.2140  53677.5  13  YES 
SN6936  SNIa  2005jl  21:32:56.11  -0:41:59.2  0.1800  53678.6  8  YES 
SN6962  SNIa?(SP)  2005je  2:35:26.62  +1:4:29.5  0.0940  53667.5  17  YES 
SN6968  SNIa?(SP)  ---  1:18:13.37  -0:54:23.6  0.0980  53686.6  12  YES 
SN7017  SNIa  ---  2:5:27.68  -0:29:52.5  0.2680  53676.2  30  YES 
SN7051  SNIa?(LC)  ---  23:54:10.08  +0:1:30.1  0.1766  53658.6  7  YES 
SN7092  SNIa?(LC)  ---  21:5:7.32  +1:13:13.7  0.2260  53667.8  7  YES 
SN7099  SNIa?(LC)  ---  22:51:33.16  +1:10:2.5  0.2190  53675.9  10  YES 
SN7102  SNIa?(LC)  ---  21:38:28.78  -0:36:56.1  0.1960  53670.1  7  YES 
SN7121  SNIa?(LC)  ---  21:5:16.94  -0:3:39.3  0.2545  53673.2  7  YES 
SN7143  SNIa  2005jg  23:1:2.97  -0:12:26.5  0.3020  53676.2  24  YES 
SN7147  SNIa  2005jh  23:20:4.43  -0:3:19.6  0.1110  53679.0  13  YES 
SN7243  SNIa  2005jm  21:52:18.98  +0:28:18.9  0.2040  53683.5  12  YES 
SN7258  SNIa?(LC)  ---  21:24:55.20  -0:59:56.3  0.2555  53672.8  8  YES 
SN7335  SNIa?(SP)  2005kn  21:15:32.45  -0:21:19.2  0.1900  53674.7  6  YES 
SN7363  SNIa?(LC)  ---  1:11:51.24  -0:46:55.7  0.1800  53677.2  12  YES 
SN7373  SNIa?(LC)  ---  23:31:13.16  +0:35:17.9  0.2803  53681.1  11  YES 
SN7426  SNIa?(SP)  2005jb  22:36:3.21  -0:22:4.5  0.3800  53676.8  8  YES 
SN7431  SNIa?(LC)  ---  22:43:49.05  -0:16:29.8  0.3500  53674.0  5  NO 
SN7444  SNIa?(LC)  ---  1:50:48.70  +0:25:47.4  0.2510  53680.0  10  YES 
SN7457  SNIa?(LC)  ---  23:23:36.76  -0:22:19.8  0.2551  53672.4  6  YES 
SN7460  SNIa?(SP)  2005jx  21:34:20.17  -0:40:54.2  0.2120  53671.4  4  YES 
SN7473  SNIa  2005ji  0:17:18.34  -0:15:26.2  0.2150  53677.7  11  YES 
SN7475  SNIa  2005jn  0:19:0.83  -0:16:53.4  0.3190  53672.2  9  YES 
SN7479  SNIa?(LC)  ---  0:28:54.20  -0:24:34.1  0.2272  53677.9  10  NO 
SN7512  SNIa  2005jo  3:28:21.68  -0:19:33.9  0.2340  53679.9  11  YES 
SN7527  SNIa?(LC)  ---  22:21:1.54  -1:12:14.8  0.2367  53673.6  6  YES 
SN7600  SNIa?(LC)  ---  23:10:27.24  -1:6:26.8  0.1884  53681.1  9  YES 
SN7644  SNIa?(LC)  ---  23:35:44.41  +0:52:6.0  0.3103  53671.9  5  YES 
SN7647  SNIa?(LC)  ---  23:53:31.94  +1:2:31.3  0.3870  53677.7  5  YES 
SN7701  SNIa?(LC)  ---  0:26:4.07  -1:13:43.6  0.1405  53679.1  6  YES 
SN7779  SNIa  2005jw  20:40:19.25  -0:0:25.8  0.3700  53671.1  7  YES 
SN7824  SNIa?(LC)  ---  23:15:15.14  -0:4:50.8  0.2874  53679.2  9  YES 
SN7847  SNIa  2005jp  2:9:50.39  -0:3:42.5  0.2130  53679.8  12  YES 
SN7876  SNIa  2005ir  1:16:43.80  +0:47:40.7  0.0760  53685.0  11  YES 
SN7947  SNIa?(SP)  2005jj  20:56:44.66  +0:24:30.1  0.3700  53670.9  4  YES 
SN7954  SNIa?(LC)  ---  22:10:42.48  +0:20:52.0  0.2560  53680.0  6  YES 
SN8030  SNIa  2005jv  2:40:50.12  +0:59:35.3  0.4200  53673.9  5  YES 
SN8046  SNIa  2005ju  2:36:28.03  +0:30:40.6  0.2590  53681.2  9  YES 
SN8114  SNIa?(LC)  ---  23:28:52.00  +0:13:42.4  0.3721  53670.1  9  YES 
SN8151  SNIa  2005hk  0:27:50.88  -1:11:53.3  0.0130  53685.0  19  YES 
SN8165  SNIa?(LC)  ---  3:20:54.10  -1:6:33.7  0.3190  53677.4  3  YES 
SN8213  SNIa  2005ko  23:50:5.02  -0:55:17.0  0.1860  53682.7  9  YES 
SN8236  SNIa?(LC)  ---  22:48:43.56  +0:48:30.4  0.2100  53686.6  7  YES 
SN8254  SNIa?(LC)  ---  23:24:39.33  +0:49:11.5  0.1893  53683.8  8  YES 
SN8280  SNIa?(LC)  ---  0:34:17.71  +0:47:45.7  0.1849  53680.0  9  NO 
SN8495  SNIa  2005mi  22:21:2.65  -0:44:53.4  0.2160  53687.8  9  YES 
SN8555  SNIa?(LC)  ---  0:11:39.73  -0:24:53.6  0.1980  53682.7  15  NO 
SN8598  SNIa  2005jt  2:50:40.16  -0:3:57.5  0.3610  53677.9  6  YES 
SN8607  SNIa?(LC)  ---  21:34:20.86  +0:9:7.1  0.2336  53686.0  4  YES 
SN8679  SNII  2005jr  1:0:12.37  +0:20:26.9  0.2960  53683.3  9  YES 
SN8707  SNIa?(SP)  2005mh  2:44:56.68  +0:12:13.0  0.3900  53683.1  9  YES 
SN8719  SNIa  2005kp  0:30:53.16  -0:43:7.9  0.1170  53688.8  8  YES 
SN8742  SNIa?(LC)  ---  0:44:57.49  +0:26:14.0  0.2150  53687.6  7  YES 
